Accession,Release_Date,Species,Molecule_type,Length,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MW560565,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29848,partial,USA,,Homo sapiens,oronasopharynx,2021-01-11
MW560566,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29522,partial,USA,,Homo sapiens,oronasopharynx,2021-01-11
MW560567,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29848,partial,USA,,Homo sapiens,oronasopharynx,2021-01-07
MW560568,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29854,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560569,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29861,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560570,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29856,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560571,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29862,partial,USA,,Homo sapiens,oronasopharynx,2021-01-19
MW560572,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29854,partial,USA,,Homo sapiens,oronasopharynx,2021-01-15
MW560573,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29861,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560574,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29506,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560575,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29600,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560576,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29861,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560577,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29860,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560578,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29710,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560579,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29848,partial,USA,,Homo sapiens,oronasopharynx,2021-01-11
MW560580,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29611,partial,USA,,Homo sapiens,oronasopharynx,2021-01-12
MW560581,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,partial,USA,,Homo sapiens,oronasopharynx,2021-01-23
MW560582,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29896,partial,USA,,Homo sapiens,oronasopharynx,2021-01-25
MW560583,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29845,partial,USA,,Homo sapiens,oronasopharynx,2021-01-24
MW560584,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,partial,USA,,Homo sapiens,oronasopharynx,2021-01-19
MW560585,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29861,partial,USA,,Homo sapiens,oronasopharynx,2021-01-19
MW560586,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,partial,USA,,Homo sapiens,oronasopharynx,2021-01-12
MW560587,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,partial,USA,,Homo sapiens,oronasopharynx,2021-01-13
MW560588,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29648,partial,USA,,Homo sapiens,oronasopharynx,2021-01-18
MW560589,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29641,partial,USA,,Homo sapiens,oronasopharynx,2021-01-13
MW560590,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,partial,USA,,Homo sapiens,oronasopharynx,2021-01-05
MW560591,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,partial,USA,,Homo sapiens,oronasopharynx,2021-01-07
MW560592,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29894,partial,USA,,Homo sapiens,oronasopharynx,2021-01-07
MW560593,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29858,partial,USA,,Homo sapiens,oronasopharynx,2021-01-14
MW560594,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,partial,USA,,Homo sapiens,oronasopharynx,2021-01-17
MW560595,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,partial,USA,,Homo sapiens,oronasopharynx,2021-01-21
MW560596,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29658,complete,USA,,Homo sapiens,oronasopharynx,2021-01-19
MW560597,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29524,partial,USA,,Homo sapiens,oronasopharynx,2021-01-19
MW560598,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29230,partial,USA,,Homo sapiens,oronasopharynx,2021-01-19
MW560599,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,partial,USA,,Homo sapiens,oronasopharynx,2021-01-19
MW560600,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29323,partial,USA,,Homo sapiens,oronasopharynx,2021-01-19
MW560601,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29886,partial,USA,,Homo sapiens,oronasopharynx,2021-01-19
MW560602,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,partial,USA,,Homo sapiens,oronasopharynx,2021-01-19
MW560603,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29856,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560604,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29570,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560605,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29709,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560606,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,partial,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560607,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29743,complete,USA,,Homo sapiens,oronasopharynx,2021-01-20
MW560608,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,partial,USA,,Homo sapiens,oronasopharynx,2021-01-21
MW560609,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,partial,USA,,Homo sapiens,oronasopharynx,2021-01-22
MW560610,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29854,partial,USA,,Homo sapiens,oronasopharynx,2021-01-24
MW560611,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29852,partial,USA,,Homo sapiens,oronasopharynx,2021-01-25
MW560612,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29864,partial,USA,,Homo sapiens,oronasopharynx,2021-01-26
MW560613,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29787,partial,USA,,Homo sapiens,oronasopharynx,2021-01-12
MW560749,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560750,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29774,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560751,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560752,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560753,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560754,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29772,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560755,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560756,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560757,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560758,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560759,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560760,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560761,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560762,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560763,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560764,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560765,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560766,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560767,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-13
MW560768,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560769,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560770,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29781,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560771,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560772,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-12
MW560773,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560774,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560775,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-12
MW560776,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29783,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560777,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-15
MW560778,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560779,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560780,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-13
MW560781,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29763,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560782,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560783,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560784,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560785,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560786,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560787,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29779,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560788,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560789,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560790,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29779,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560791,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560792,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560793,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560794,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560795,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560796,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560797,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560798,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29779,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560799,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560800,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560801,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560802,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560803,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560804,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560805,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560806,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29784,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560807,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560808,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29765,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560809,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-15
MW560810,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560811,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560812,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560813,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560814,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560815,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560816,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29778,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560817,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560818,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-13
MW560819,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560820,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560821,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560822,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560823,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560824,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560825,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560826,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560827,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29785,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560828,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560829,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560830,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560831,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560832,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-14
MW560833,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560834,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,partial,USA: CA,CA,Homo sapiens,,2021-01-13
MW560835,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29782,complete,USA: CA,CA,Homo sapiens,,2021-01-14
MW560900,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,partial,USA: California,CA,Homo sapiens,,2021-01-09
MW560901,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29826,complete,USA: California,CA,Homo sapiens,,2021-01-09
MW560902,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29829,partial,USA: California,CA,Homo sapiens,,2021-01-09
MW560903,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29825,partial,USA: California,CA,Homo sapiens,,2021-01-09
MW560904,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29826,complete,USA: California,CA,Homo sapiens,,2021-01-09
MW560905,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29828,complete,USA: California,CA,Homo sapiens,,2021-01-10
MW560906,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29825,complete,USA: California,CA,Homo sapiens,,2021-01-10
MW560907,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29818,complete,USA: California,CA,Homo sapiens,,2021-01-10
MW560908,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29845,complete,USA: California,CA,Homo sapiens,,2021-01-10
MW560909,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29825,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560910,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560911,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29860,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560912,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29838,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560913,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29852,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560914,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29899,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560915,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29874,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560916,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560917,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29830,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560918,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29842,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560919,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29872,complete,USA: California,CA,Homo sapiens,,2021-01-18
MW560920,2021-02-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29866,complete,USA: California,CA,Homo sapiens,,2021-01-18
